"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24,18,14,-10,-8,58,17
1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24,18,14,-10,-8,58
-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24,18,14,-10,-8
-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24,18,14,-10
29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24,18,14
11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24,18
-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1,-24
8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7,-1
-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1,-7
-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33,1
-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3,33
1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4,-3
-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13,4
-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19,13
0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5,-19
27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15,-5
22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4,-15
10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2,4
-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26,2
-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13,-26
0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383,-13
7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383,1.6342524023383
-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3,-13.6342524023383
-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29,-3
-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11,29
3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1,11
-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8,-1
-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6,8
9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1,-6
18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4,-1
6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1,-4
17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1,1
25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5,-1
5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0,-5
14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27,0
-23,14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22,27
-19,-23,14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10,22
-17,-19,-23,14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16,10
36,-17,-19,-23,14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7,-16
45,36,-17,-19,-23,14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0,-7
28,45,36,-17,-19,-23,14,5,25,17,6,18,9,-19,-13.2046868013306,3.20468680133062,-17,-23,-12,7,0
