"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447,58797514,-50404517,11644979,-59797336,55195710,-188666021
-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447,58797514,-50404517,11644979,-59797336,55195710
-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447,58797514,-50404517,11644979,-59797336
30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447,58797514,-50404517,11644979
70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447,58797514,-50404517
23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447,58797514
-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081,151764447
-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562,-27723081
69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309,-135656562
32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072,-4035309
-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599,-134163072
-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358,165720599
130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629,8277358
-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974,66259629
290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714,-41616974
-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741,-30092714
19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378,-58562741
-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733,-41187378
-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902,-34978733
19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064,-124642902
47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234,35190064
89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783,-29825234
-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824,-14274783
-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287,30885824
-3255017,-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012,70600287
-73320622,-3255017,-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335,23001012
87122475,-73320622,-3255017,-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133,-142862335
51884720,87122475,-73320622,-3255017,-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847,-69188133
-14365268,51884720,87122475,-73320622,-3255017,-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271,69599847
-147843825,-14365268,51884720,87122475,-73320622,-3255017,-52022653,-107348687,89662881,47103316,19135966,-44236042,-117933278,19140418,-242974809,290752360,-132527582,130951106,-139496526,-28006725,32724271
