"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569,-0.1637,-0.1383,0.2818,0.2268,-7.3077,-63.5113
-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569,-0.1637,-0.1383,0.2818,0.2268,-7.3077
-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569,-0.1637,-0.1383,0.2818,0.2268
-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569,-0.1637,-0.1383,0.2818
-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569,-0.1637,-0.1383
-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569,-0.1637
1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432,-1.5569
0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997,-0.7432
-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119,-0.0532999999999997
-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919,2.9119
-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334,64.2919
0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547,176.7334
0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445,182.7547
2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276,188.9445
61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105,167.8276
126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856,127.8105
238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187,77.0856
181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508,15.2187
164.0475,181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808,-41.5508
127.9249,164.0475,181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575,-91.3808
76.4608000000001,127.9249,164.0475,181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974,-144.5575
15.7277,76.4608000000001,127.9249,164.0475,181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755,-174.7974
-34.7517,15.7277,76.4608000000001,127.9249,164.0475,181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368,-188.1755
-94.4988000000001,-34.7517,15.7277,76.4608000000001,127.9249,164.0475,181.1605,238.299,126.9814,61.0576,2.5017,0.3742,0.1361,-0.3942,-0.000500000000000167,-0.1485,0.1546,1.3246,-21.6977,-147.7825,-194.4368
