"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75,-3,-0.25,-7.25,-2,-1.75,-0.25
-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75,-3,-0.25,-7.25,-2,-1.75
-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75,-3,-0.25,-7.25,-2
1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75,-3,-0.25,-7.25
-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75,-3,-0.25
-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75,-3
0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5,0.75
-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1,0.5
1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75,1
-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25,-2.75
-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0,0.25
-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5,0
0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4,1.5
-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25,4
2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25,5.25
2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25,7.25
-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5,5.25
-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5,4.5
-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3,5.5
2,-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75,3
-1,2,-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5,1.75
4.5,-1,2,-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1,-2.5
-1.5,4.5,-1,2,-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25,-1
-4.75,-1.5,4.5,-1,2,-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5,1.25
-2,-4.75,-1.5,4.5,-1,2,-1.75,-1.25,-0.75,2.5,2.75,-3,0.5,-0.5,-3,-0.75,1.25,-0.25,0.25,-2.25,-1.5
