"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001,0,2.6,0.700000000000001,0,2.9,-0.699999999999999
0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001,0,2.6,0.700000000000001,0,2.9
0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001,0,2.6,0.700000000000001,0
0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001,0,2.6,0.700000000000001
0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001,0,2.6
-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001,0
0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0,0.800000000000001
-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001,0
0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1,-0.800000000000001
0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1,-1
3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0,1
0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0,0
0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1,0
2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999,-1
3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5,-0.699999999999999
0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0,2.5
0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999,0
0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0,0.899999999999999
-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7,0
0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999,-1.7
0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0,-0.899999999999999
1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0,0
0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999,0
10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0,0.899999999999999
0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999,0
0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0,-0.899999999999999
-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7,0
-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0,-1.7
0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0,0
0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7,0
0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0,3.7
0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0,0
29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2,0
3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3,2
-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0,3.3
-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0,0
-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0,0
0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2,0
15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0,-1.2
0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0,0
-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2,0
2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0,1.2
-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3,0
-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0,10.3
-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0,0
-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4,0
-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7,-4
-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0,-2.7
-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0,0
0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0,0
2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0,0
2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6,0
10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1,29.6
0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1,3.1
2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4,-3.1
2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17,-3.4
1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0,-17
-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6,0
-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0,15.6
-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6,0
2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9,-15.6
3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7,2.9
13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9,-5.7
-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3,-7.9
-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1,-1.3
-5.1,-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1,-1
-2.6,-5.1,-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1,-1.1
8.2,-2.6,-5.1,-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1,-1
-12.4,8.2,-2.6,-5.1,-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0,-1
-2.6,-12.4,8.2,-2.6,-5.1,-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2,0
-4.1,-2.6,-12.4,8.2,-2.6,-5.1,-5.09999999999999,-1.90000000000001,13.3,3.1,2,-1.40000000000001,-0.599999999999994,-3.7,1.4,2.3,2,0.5,10.1,2.1,2
