"target","Tm1","Tm2","Tm3","Tm4","Tm5","Tm6","Tm7","Tm8","Tm9","Tm10","Tm11","Tm12","Tm13","Tm14","Tm15","Tm16","Tm17","Tm18","Tm19","Tm20"
-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0,0,0.2,-0.8,-0.2,1.9,0.2
-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0,0,0.2,-0.8,-0.2,1.9
-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0,0,0.2,-0.8,-0.2
-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0,0,0.2,-0.8
0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0,0,0.2
0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0,0
-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5,0
0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1,0.5
-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5,-1
-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8,0.5
0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5,0.8
0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2,0.5
-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4,-0.2
0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9,0.4
0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7,-0.9
0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3,-0.7
0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1,-0.3
0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999,0.1
-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5,0.0999999999999999
-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2,-0.5
0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1,-0.2
0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282,-0.1
-0.3,0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718,-0.0821120561826282
-0.8,-0.3,0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3,-0.0178879438173718
-0.2,-0.8,-0.3,0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4,0.3
0,-0.2,-0.8,-0.3,0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999,0.4
-0.3,0,-0.2,-0.8,-0.3,0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5,-0.0999999999999999
-0.4,-0.3,0,-0.2,-0.8,-0.3,0.8,0.2,-0.5,-0.4,0.4,0.5,0.2,0.2,0,-0.5,0.2,0.2,-0.2,-0.2,0.5
